date,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E.1,Type 2 Departments - Single Specialty.1,Type 3 Departments - Other A&E/Minor Injury Unit.1,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3)
2010-11-01,1065456.1428571427,53584.000000000015,485550.85714285704,1604590.9999999998,45838.428571428565,143.4285714285714,454.57142857142867,46436.42857142858,0.9718742234272824,0.9587522248826401,0.9973304404241515,0.9990646782898956
2010-12-01,1070728.5714285707,45395.85714285714,531699.4285714289,1647823.8571428575,88475.2857142857,140.57142857142856,1301.4285714285709,89917.28571428568,0.9482562255696805,0.9236758183911199,0.9969129896001632,0.9975582992897895
2011-01-01,1061897.9999999995,51420.57142857143,541588.8571428572,1654907.4285714286,71982.57142857139,164.2857142857143,742.4285714285719,72889.28571428572,0.9578137375122752,0.9365166197901417,0.9968152337064587,0.9986310423333761
2011-02-01,1007384.714285714,51153.42857142858,493882.9999999997,1552421.1428571437,46322.42857142856,95.85714285714288,524.5714285714286,46942.857142857174,0.9706490472820088,0.9560386119754065,0.9981295906563158,0.9989389898964215
2011-03-01,1167089.8571428563,57694.85714285714,579483.5714285714,1804268.2857142857,58132.142857142855,205.5714285714285,835.0,59172.7142857143,0.9682454586511114,0.9525537879199502,0.9964495698280053,0.9985611351400585
2011-04-01,1140917.428571429,53787.857142857145,592289.7142857146,1786994.9999999995,56295.28571428573,254.57142857142864,830.0000000000001,57379.85714285712,0.9688892651509331,0.9529780422120953,0.995289415459282,0.9986006197737002
2011-05-01,1168080.1428571432,56642.99999999999,594166.5714285716,1818889.7142857153,53607.28571428571,424.00000000000006,774.1428571428572,54805.42857142857,0.9707500823811406,0.9561202935705322,0.9925701368566773,0.9986987899154418
2011-06-01,1117614.857142857,54549.99999999999,561550.7142857141,1733715.5714285723,50853.00000000001,189.42857142857133,659.2857142857146,51701.714285714275,0.9710422237426529,0.9564789055264677,0.9965394492348164,0.9988273319323995
2011-07-01,1167234.2857142852,55995.428571428594,596844.2857142854,1820073.9999999993,43831.57142857142,208.28571428571425,845.5714285714279,44885.42857142856,0.9759322225010487,0.9638074418744008,0.9962940934254473,0.9985852672276998
2011-08-01,1091366.5714285716,51774.42857142857,569890.7142857143,1713031.714285714,44434.857142857145,115.85714285714293,525.8571428571428,45076.57142857146,0.9743607536607123,0.9608779703695691,0.9977672672011276,0.9990781173458194
2011-09-01,1107670.5714285714,52149.57142857141,565998.0,1725818.1428571432,54472.28571428572,179.7142857142858,740.4285714285716,55392.4285714286,0.9689018078715967,0.9531277197295636,0.9965657034438514,0.9986935267945479
2011-10-01,1139226.5714285716,54241.142857142884,592992.0000000001,1786459.714285714,61481.28571428576,206.14285714285725,765.2857142857138,62452.71428571427,0.9662219187233391,0.9487957996205809,0.9962139002075402,0.9987111135598697
2011-11-01,1076773.8571428563,51633.142857142855,553902.0000000001,1682309.0000000002,58185.57142857145,139.28571428571428,807.0,59131.857142857145,0.9660442920583169,0.948733346793013,0.9973096546148391,0.9985451831500841
2011-12-01,1069765.5714285711,47846.71428571429,541601.5714285712,1659213.8571428566,71840.85714285713,114.14285714285715,876.9999999999999,72831.99999999994,0.9579503050108951,0.9370703813986432,0.9976200830439108,0.998383346280959
2012-01-01,1064830.8571428568,51547.71428571426,547392.8571428572,1663771.4285714286,73084.71428571425,59.42857142857144,602.4285714285713,73746.57142857142,0.9575563698168471,0.9357731661989988,0.9988484429065744,0.9989006683321311
